Question ID,Book,Subject,Class,Board/Program,Chapter Number,Chapter Name,Question Type,Difficulty,Question,Answer
53899,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Two mirrors form a triangle as shown in Fig. 1.9. A ray is incident on mirror M1 at an angle of 65° to the normal.
(a) 25°
(b) 35°
(c) 45°
(d) 55°","(c) 45°
Explanation: The first reflected ray makes an angle of 90° ? 65°, or 25°, with the horizontal. The second reflected ray makes an angle of 55° with the normal to M2."
53900,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"What is the minimum height of a plane mirror that allows an individual to see his full image?
(a) 0.5 H L
(b) H L/2
(c) 1.5 H L
(d) None of the above","(c) 1.5 H L
Explanation: The correct option is '1.5 H L' because it represents half the height of the person plus half the height of the mirror minus the reflection of the eyes."
53901,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Given two plane mirrors inclined at an angle ?, a light ray is incident on one mirror at an angle i. The final reflected ray falls parallel to the first mirror. What is the value of i in terms of ??
(a) 2? - 90°
(b) ? + 45°
(c) 3? - 180°
(d) ?/2","(a) 2? - 90°
Explanation: The correct option follows from the model answer where it is stated that if i = 2? - 90°, then B C will be parallel to mirror M1."
53902,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A point A is placed on a plane mirror M N at coordinates (2, 0). What are the coordinates of its image A??
(a) (6, 0)
(b) (4, -1)
(c) (3, 0)
(d) (5, 0)","(a) (6, 0)
Explanation: The correct option is (6, 0), as per the model answer provided."
53903,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"What is the focal length of a spherical mirror with a radius of curvature of 20 cm?
(a) 5 cm
(b) 10 cm
(c) 20 cm
(d) 40 cm","(c) 20 cm
Explanation: The correct answer is 10 cm, as the focal length (f) of a spherical mirror is half of its radius of curvature (R)."
53904,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object placed at a distance of 10 cm from a convex mirror has its image located at what position? What is the nature of the image?
(a) 6 cm behind the mirror
(b) 30 cm in front of the mirror
(c) 25 cm behind the mirror
(d) 8 cm in front of the mirror","(b) 30 cm in front of the mirror
Explanation: The correct position and nature of the image are determined by the mirror formula: v = f/u. Plugging in the values gives v = 15/(-10) or v = -1.5, which means the image is formed at a distance of 6 cm behind the mirror (negative sign indicates virtual image). The image is also erect."
53905,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"What should be the range of distance of the object from a concave mirror to obtain an erect image? What is the nature of the image and does it appear larger or smaller than the object?
(a) 15 cm
(b) 20 cm
(c) 30 cm
(d) 45 cm","(a) 15 cm
Explanation: The correct distance for obtaining an erect image using a concave mirror is less than its focal length. In this case, the object should be placed at a distance of 15 cm from the pole to get an erect image."
53906,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object 4 cm high is placed at a distance of 25 cm in front of a concave mirror with a focal length of 15 cm. What is the position, nature and size of the image formed?
(a) v= -30 cm; virtual, reduced
(b) v= -7.5 cm; real, inverted
(c) v= +20 cm; virtual, magnified
(d) v= +40 cm; real, upright","(b) v= -7.5 cm; real, inverted
Explanation: The correct answer is v = -7.5 cm; real, inverted because the object distance (u) is negative and the focal length (f) is positive, resulting in a virtual image behind the mirror."
53907,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object is placed at a distance of 8 cm from a concave mirror with a focal length of -10 cm. Find the position and nature of the image formed.
(a) 40 cm behind the mirror
(b) -40 cm in front of the mirror
(c) 20 cm in front of the mirror
(d) 50 cm in front of the mirror","(a) 40 cm behind the mirror
Explanation: The correct option is 40 cm behind the mirror. The image formed by a concave mirror is virtual, erect, and enlarged."
53908,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object placed in front of a convex mirror forms an image at 11.11 cm behind the mirror. What are the magnification and nature of the image?
(a) (i) Magnitude: +40%, Nature: Inverted
(b) (ii) Magnitude: -25%, Nature: Erect
(c) (iii) Magnitude: -25%, Nature: Inverted
(d) (iv) Magnitude: 16/9, Nature: Erect","(d) (iv) Magnitude: 16/9, Nature: Erect
Explanation: The image is formed at a distance of 11.11 cm behind the convex mirror and it is erect."
53909,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A concave mirror of focal length f produces a real image ?? times the size of the object. What is the distance of the object from the mirror?
(a) (n + 1)/n f
(b) (n - 1)/n f
(c) -f/(n+1)
(d) -f/n","(a) (n + 1)/n f
Explanation: The correct option follows directly from the model answer where n = ?1, leading to u = ((?1 + 1))/(?1) f = f. The other options are incorrect because they do not satisfy the given magnification condition."
